 ,,Bananas Docena,Huevos Maple,Brote de Soja,Champignones,Girgolas,Morron Amarillo,Ananá,Alcaucil,Queso Criollo Horma,Kiwi Cajón,Pera Cajón,Pera Caja,Pera Bandeja,Pera Kg,Manzana Roja Caja,Manzana Roja Bandeja,Manzana Roja Kg,Manzana Verde Caja,Manzana Verde Bandeja,Manzana Verde Kg,Ciruela Cajón,Ciruela Kg,Durazno Cajón,Durazno Kg,Uva Kg,Uva Rosa,Uva Blanca,Uva Huevo,Uva Negra,Garbanzo,Almendras kg,Maní con Cáscara Bolsa,Queso de Cabra Horma,Miel de Caña,Miel de Abeja,Higo Cajón,Higos por Kg,Ajo Ristra,Berenjena Jaula,Berenjena Kg,Pomelo Jaula,Pomelo Grande Jaula,Pomelo Docena,Mandarina Grande Jaula,Mandarina Docena,Estevia atado,Cebolla Kg,Cebolla Morada Kg,Zukini Cajón,Zukini Kg,Naranja Docena,Ajo cabeza,Limón Docena,Papaya,Papa por Kg,Bananas Premium Docena,Arándanos bandeja,Banana Cajón,Banana Premium Cajón,Cayote,Zukini Jaula,Yerba Buena,Menta o yerba buena,Menta,Papa bolsa,Papá chica bolsa,Cebolla bolsa,Cebolla Morada Bolsa,Tomate cajón,Naranja Grande Jaula,Tomate redondo cajón,Naranja jaula,Limón jaula,Mandarina jaula,Mandarina Grande Docena,Zapallito Verde Jaula,Zapallito verde kg,Cereza kg,Choclo amarillo bolsa,Choclo amarillo Docena,Limón Grande Jaula,Morrón verde jaula,Morrón rojo jaula,Calabaza bolsa chica,Calabaza bolsa grande,Calabaza kg,Manzana Roja  Premium Caja ,Zapallo entero,Zapallo Amarillo Kg,Mango Caja,Zapallo negro Kg,Tomate Cherry Cajón,Tomate Cherry Kg,Platano,Palta Criolla Kg,Frutilla Cajón,Frutilla Kg,Repollo Morado,Repollo Blanco, Coliflor,Zanahoria Atado,Cilantro,Tomate Cajón p/ Salsa,Locoto Kg,Papines por kg,Orégano,Granada Kg,Romero fresco atado,Melón,Laurel,Albahaca Hidropónica,Tanjarina,Tomate Seco,Quinoa,Nabos,Maracuya,Sandía,Melon Caja,Tomate Cherry Jaula,Lima Docena,Frutilla Cajon p/mermelada,Lima Cajón,Papa Blanca Bolsa,Chia kg,Morrón Rojo Kg,Morrón Verde Kg,Tomate Jaula,Jengibre Kg,Pepino kg,Mango kg,Nuez kg,Albahaca seca,Tomate Redondo Kg,Quinotos Kg,Zanahorias Grandes por Bolsa,Salvia atado,Batata Bolsa,Batata Kg,Pelones Cajón,Pelones Kg,Porotos de Soja,Zanahoria por Kg,Tomate Perita Kg,Maiz Pelado kg,Poroto Pallares kg,Frutos Rojos 2 Congelados,Habas,Palta Madura por Kg,Lima jaula,Palta Madura por Kilo,Manzana Roja Deliciosa Bandeja,Lechuga Hidroponica,Tomillo,Palta Mediana por Kg,Lechuga Morada Jaula,Lechuga Crespa Jaula,Lechuga Mantecosa Jaula,Arandanos Congelados,Rucula unidad,Choclo Blanco por Bolsa,Choclo Blanco Docena,Quesillo,Berro,Jaula de Lechuga Repollada,Brócoli,Remolacha,Lechuga Repollada unidad,Puerro,Apio,Verdeo,Maracuya Congelado,Perejil,Radicheta,Arveja por Kg,Aji Picante por Kg,Chaucha por Kg,Espinaca,Lechuga Crespa unidad,Lechuga Morada unidad,Lechuga Mantecosa unidad,Albahaca unidad,Acelga,Lechuga Crespa 1/4,Lechuga Morada 1/4,Lechuga Escarola,Ají dulce,Esparragos,Repollos de Brucelas,Hongos de Pino,Papa Oca por kg,Damasco kg,Hinojo,Rabanito,Frutos Rojos 1 Congelados,kiwi Kg,Rucula Hidroponica,Lenteja por Kg,Pimentón por Kg,Provenzal kg,,,
26/01/2026 4:34:34,051) Vaca Club,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,
26/01/2026 4:42:43,016) House,2,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,2,,1,,,,,,,,,,,,,,,4,,"0,5",,,,,1,3,,,,2,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,1,,,,,,,,,,,,,2,8,,,,,8,,,,,,,,,,,4,,,,,,,2,,1,1,1,,1,,,,,8,4,,,,3,,,,,,,,,,,,,,,,,,,,
26/01/2026 4:48:02,031) Charrua,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,1,,"0,5",,,"0,5",,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,4,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,
26/01/2026 4:54:32,035) Mapogo,3,,4,,,1,,,,,,,,4,,,4,,,,,8,,,,,,,,,,,"0,86",,5,,,,,2,,,,,,,,3,,2,,,,,,,4,,,,,,,,1,,,,,,,2,1,,,,,,,2,,,,,,,,,,,,,4,,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,3,2,,1,1,2,,,,,,,,,,,,3,2,,,,,18,,,,,,,,,,,3,,,,,,,,,1,,,,,,1,,3,,2,5,2,1,,,,,,,,,,,,1,,1,,,,,,,
26/01/2026 4:57:59,043) La Fiamma Caseros,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,"0,5",,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,4,,,,,,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/01/2026 5:01:53,032) Brew,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,"0,5",,,,,,,,,,,,,1,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,0,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
26/01/2026 5:03:31,040) Gertrudis Cafe,,,,,,,,,,,,,,,,,1,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/01/2026 5:05:48,007) Factury,"0,5",,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,"0,5",,,"0,5",,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,
26/01/2026 5:10:43,030) de Boca en Boca,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,1,,1,1,1,,,,,,,,7,,,1,,,,,,,,,,,,,,,,,,,,,
26/01/2026 5:11:22,018) Estación Terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
26/01/2026 5:13:28,003) Tuchito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/01/2026 5:15:37,005) Barrett,1,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,"0,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",1,,,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
26/01/2026 5:17:36,002) Estación Buenos Aires,,,,,,,,,,,,,,,,,,,,1,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,3,,,,"0,5",,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
26/01/2026 5:19:39,011) Pistacchio,2,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,"0,5",,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,7,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
26/01/2026 5:21:16,012) Estación Belgrano 2,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"0,25",,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
26/01/2026 5:27:19,010) Zombra,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,3,,,,5,,,,,,,,,,,,,5,,,,,,,"0,5","0,5",,,,,,,,,,,,,2,,,,,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,2,,,,,,,,,,,,,5,8,,,,,1,,,,,,,,,,,10,,,,,,,,,,3,,,1,,,,,,6,,,2,,,,,,,,,,,,,,,,,,,,,
26/01/2026 5:31:35,019) The Salad Bar,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,1",,,,,,,"1,5",,,,,,,,,,,,"1,5",,,,,,,,,,,,,,,,,,,,"0,35","0,3",,,1,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,4,,,,,,1,2,3,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
26/01/2026 5:35:33,006) Del Milagro 352,,3,,,,,,,,,,,,1,,,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,5",1,"0,5",,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,"0,5",1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/01/2026 4:17:47,008) Bovino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/01/2026 4:19:09,052) El Wey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,4,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/01/2026 4:23:32,003) Tuchito,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,4,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/01/2026 4:28:51,021) Estación Belgrano,"1,75",,1,,,"0,5",,,,,,,,2,,,,,,,,"0,5",,"0,5",1,,,,,,,,,1,,,,,,,,,,,,,,,,"0,5",,,,,,,1,,,,,,,,1,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,1,,,,"0,5",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,7,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,
27/01/2026 4:29:58,005) Barrett,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,"0,3",,1,,,,,,,,,,,,,,,,,,,,,,,,,
27/01/2026 4:33:21,050) Moira Parrilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,"1,75",,"1,75",,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,5",,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/01/2026 4:35:28,051) Vaca Club,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,2,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/01/2026 4:38:46,031) Charrua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,5",,,,,,,,,,,,,,,,"13,5",,"8,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,8,,,,,"0,5",,,,,,3,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,
27/01/2026 4:42:31,035) Mapogo,1,,,,,,,,,,,,,"1,5",,,"1,5",,,"1,5",,"1,5",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,2,,,,,,,,,,,,2,2,,,,,8,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,3,2,,2,,,,,,,,,,,,,"0,5",,,,,,,,,
27/01/2026 4:45:01,038) La Fiamma Paseo Guemes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,"0,5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,5,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/01/2026 4:46:57,002) Estación Buenos Aires,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
27/01/2026 4:48:53,043) La Fiamma Caseros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,6,,,,,,,,,,,,,,,,,,,,
27/01/2026 4:51:18,011) Pistacchio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,"0,25",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
27/01/2026 4:53:14,023) Los Diaz Confitería,2,,,,,,,,,,,,,2,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/01/2026 4:53:30,024) Los Diaz Heladería,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/01/2026 4:54:36,012) Estación Belgrano 2,"0,5",,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,
27/01/2026 4:59:37,019) The Salad Bar,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,"1,07",,,,,,,,,,,,,,1,,,1,3,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,1",,,,,,,"1,5",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,4","0,28",,"0,1",1,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,4,,,,,,,1,4,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
27/01/2026 5:00:02,018) Estación Terminal,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/01/2026 5:01:48,007) Factury,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,"0,5","0,5",,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/01/2026 5:03:00,025) Spot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/01/2026 6:20:18,049) Dietética Magnolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,1,,1,,1,,,"0,5",,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2026 4:45:28,052) El Wey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2026 4:48:22,051) Vaca Club,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,"0,5",,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,5","1,5",,,,,,,,,,,,,,,,2,,,,,,"0,25",,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2026 4:52:20,021) Estación Belgrano,"2,25",,,,,,,,,,,,,"0,5",,,1,,,"1,5",,,,"0,5",,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,2,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,2,,,,,6,,,,,,,,,,,5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,
28/01/2026 4:55:00,031) Charrua,2,,,,,,,,,,,,,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"0,5",,,,,,,,,,,,,,,,,,,,,,8,,,,,,2,,,,,,,,3,,,2,5,,,,,6,,,,,,,,,,,,,,,,,,,,
28/01/2026 4:56:14,007) Factury,"0,5",,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2026 4:57:34,011) Pistacchio,1,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
28/01/2026 4:59:10,003) Tuchito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,3,,,,"0,5",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2026 5:00:21,005) Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,5,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2026 5:04:59,038) La Fiamma Paseo Guemes,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2026 5:09:46,035) Mapogo,2,,,,,,,,,,,,,1,,,2,,,1,,1,,1,,,,,,,,,,,3,,,,,2,,,,,,,4,,,3,,,,,,,4,,,,,,,1,1,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,"0,5",1,,,,,,,,,,,,2,1,,,,,12,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,2,,4,,1,,,,,,,,,,,,,,2,,,,,,,
28/01/2026 5:13:12,019) The Salad Bar,"0,5",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,"0,33",,,"0,1",,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,4,,,,,,1,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
